pollster,grade,score,N,ADJpoint_est_error,ADJmargin_error_favor_trump,ADJabs_margin_error,ADJrightcall,ADJerror,point_est_error,margin_error_favor_trump,margin_poll,margin_actual,abs_margin_error,bias,Mpoint_est_error,Mmargin_error_favor_trump,Mabs_margin_error,rightcall,RADJpoint_est_error,RADJmargin_error_favor_trump,RADJabs_margin_error,RADJerror,Rpoint_est_error,Rmargin_error_favor_trump,Rabs_margin_error,Rbias,RADJrightcall,Rrightcall,Overall_Rank,ROverall_Rank
"ABC News/The Washington Post","A+",2,5,-2.789333,.1428988,-1.299633,.1079622,-1.299633,.8580002,-1.364,4.1,2.736,1.6,1.364,3.647334,-1.506899,2.899633,1,2,27,9,9,1,34,6,18,14,1,8.333333,6
"CVOTER","B/C",8,3,-2.790001,1.335641,-1.98077,.1217949,-1.980769,.9266663,-.2266668,2.316667,2.09,.8866653,.2266667,3.716667,-1.562308,2.867436,1,1,34,5,5,2,40,2,12,7,1,4.333333,2
"Trafalgar Group","C-",11,10,-1.907642,4.48172,-1.434946,.3883207,-1.438142,1.7235,1.081001,-4.149,-3.071,3.307001,-1.078,3.631143,-3.400719,4.741946,.9,3,47,7,7,3,43,16,9,1,17,3.666667,1
"Opinion Savvy/InsiderAdvantage","B-",7,5,-.9257084,-.9459167,-.1005838,-.1208333,-.0985834,1.754999,-3.249999,.5000001,-2.754,3.249999,3.254,2.680707,-2.304083,3.350583,.4,13,18,23,23,4,22,15,30,43,41,26.33333,26
"Landmark Communications","B",5,3,-.5638537,-.173125,-.840625,.09375,-.8356251,1.828333,-2.09,-3,-5.1,2.09,2.1,2.392187,-1.916875,2.930625,1,19,24,13,13,5,29,9,23,17,1,16.33333,12
"Fox News/Beacon Research/Shaw & Co. Research","A-",3,3,-1.825,.4856411,-1.397436,.1217949,-1.397436,1.891667,-1.076666,3.166667,2.09,1.47,1.076667,3.716667,-1.562308,2.867436,1,4,30,8,8,6,35,5,17,7,1,6.333333,4
"Clarity Campaign Labs","B/C",8,3,-1.540429,2.130672,-2.188143,-.0287356,-2.187684,2.151667,-3.996667,-2.666667,-6.663333,3.996667,3.996667,3.692096,-6.127339,6.184811,.3333333,5,42,4,4,7,19,20,33,35,44,14.66667,9
"CNN/Opinion Research Corp.","B+",6,5,-.9176983,1.374555,.9216034,-.1282932,.9218796,2.206999,-.2779999,.1,-.18,4.245999,.28,3.124697,-1.652555,3.324396,.4,14,35,31,31,8,39,25,13,44,41,29.66667,29
"Insights West","B/C",8,5,-.9604691,.3809378,-.7062304,.0417259,-.70623,2.219,1.341999,8,9.342,2.705999,-1.342,3.179469,.9610617,3.41223,.9,12,29,16,16,9,45,12,7,23,17,17,13
"Zia Poll","C/D",12,3,-1.495834,2.041667,1.596666,0,1.594167,2.456666,4.886664,3.333333,8.21,4.886664,-4.876667,3.952499,2.844997,3.289998,1,6,40,41,41,10,51,27,1,31,1,26,24
"Saguaro Strategies","C/D",12,2,-.29706,-3.5,2.5,-.7941176,2.5,2.5,-5,1.5,-3.5,5,5,2.79706,-1.5,2.5,0,21,4,48,48,11,14,30,38,51,48,40,47
"American Research Group","B",5,2,-1.27,2.970201,1.115332,-.2962454,1.11533,2.570001,.2300014,1,1.23,5.140001,-.23,3.84,-2.7402,4.02467,.5,7,44,33,33,12,42,32,10,46,33,28.66667,27
"USC Dornsife/Los Angeles Times","B/C",8,3,-1.06,5.635641,1.205898,-.5448718,1.205897,2.656667,4.073334,-1.983333,2.09,4.073334,-4.073333,3.716667,-1.562308,2.867436,.3333333,10,50,35,35,13,49,21,3,49,44,31.33333,33
"Public Policy Polling","B",5,13,-.8661717,-1.414173,.2131496,.0018593,.2132556,2.708462,-4.952308,3.846154,-1.105385,4.952308,4.951539,3.574634,-3.538135,4.739159,.4615385,16,16,26,26,14,15,29,37,30,39,24,21
"CBS News/The New York Times","A",1,2,-.9916666,.1523077,-1.457436,.1217949,-1.457436,2.725,-1.41,3.5,2.09,1.41,1.41,3.716667,-1.562308,2.867436,1,11,28,6,6,15,33,4,19,7,1,8,5
"Monmouth University","A+",2,8,-1.133082,-.3568531,-.2038609,.0394558,-.2034799,2.841876,-5.476251,-2.125,-7.60375,5.476251,5.47875,3.974958,-5.119397,5.680111,.75,8,21,20,20,16,11,36,41,24,24,17.33333,14
"Gravis Marketing","C",9,33,-.877393,.8480337,-.7267073,-.0480435,-.7264138,2.848636,-2.099697,.7727273,-1.328788,3.911818,2.101515,3.726029,-2.947731,4.638525,.5909091,15,31,15,15,17,28,18,24,36,31,22,17
"Strategic National","B/C",8,2,-1.094751,4.2775,-4.4255,.175,-4.4255,2.889999,-.7200012,.5,-.22,.7200012,.72,3.98475,-4.997501,5.145501,.25,9,46,1,1,18,37,1,15,6,46,5.333333,3
"Remington Research Group","C-",11,27,-.7576532,2.023293,-.7816651,.1127012,-.7815118,2.898889,-1.557778,-1.111111,-2.668889,4.192593,1.557778,3.656542,-3.581072,4.974258,.6481481,17,39,14,14,19,32,24,20,13,29,14.66667,9
"Dixie Strategies","B/C",8,2,-.3102779,4.82236,-1.196527,.3680556,-1.196528,3.052499,2.635,-7.72,-5.085,2.635,-2.635,3.362777,-2.18736,3.831527,1,20,49,10,10,20,46,11,6,2,1,10.66667,7
"SurveyUSA","A",1,7,-.1562064,1.716794,.7006651,.0883318,.6985237,3.102142,-.6642862,3.071429,2.405714,5.792856,.6657143,3.258349,-2.38108,5.092191,.8571429,25,38,28,28,21,38,38,14,18,21,23.66667,19
"Quinnipiac University","B+",6,11,-.2446402,-1.712325,1.03558,-.0638769,1.03616,3.115909,-5.52091,2.863636,-2.659091,5.52091,5.522727,3.36055,-3.808585,4.48533,.4545455,22,12,32,32,22,10,37,42,38,40,30.66667,31
"Marist College","A+",2,8,.0700924,-.3415197,-.1612365,.0140833,-.1606112,3.3125,-2.4425,.25,-2.19375,3.57,2.44375,3.242408,-2.100981,3.731236,.6875,28,23,22,22,23,26,17,26,26,27,25.33333,23
"Mitchell Research & Communications","C-",11,9,-.5830827,-1.805833,1.657833,-.075,1.657834,3.401667,-6.803335,6.583333,-.22,6.803335,6.803333,3.98475,-4.997501,5.145501,0,18,10,42,42,24,7,44,45,40,48,33.33333,37
"YouGov","B",5,17,-.1554603,.0707759,-.4591613,.0498841,-.459783,3.521765,-2.43647,1.352941,-1.085882,3.943529,2.438823,3.677225,-2.507246,4.40269,.7352941,26,26,18,18,25,27,19,25,22,26,22,17
"Selzer & Co.","A+",2,3,.0643786,2.112939,-2.697425,.2859687,-2.697426,3.558334,-1.003333,-1.833333,-2.836667,1.21,1.003333,3.493955,-3.116271,3.907425,1,27,41,2,2,26,36,3,16,3,1,10.66667,7
"Data Orbital","A/B",4,5,.8329418,1.4,-.4,.1058824,-.4,3.630002,-.1,-3.4,-3.5,2.1,.1,2.79706,-1.5,2.5,.9,37,36,19,19,27,41,10,11,15,17,23.66667,19
"Rasmussen Reports/Pulse Opinion Research","C+",10,32,.1567424,-.099301,.3075043,-.0514219,.307156,3.932656,-3.837188,.40625,-3.4325,5.262813,3.83875,3.775914,-3.737886,4.955308,.515625,29,25,27,27,28,21,34,31,37,32,31,32
"Emerson College","A-",3,29,-.1737025,1.333992,-.5388519,.0345497,-.5395039,3.936035,-2.988621,-1.589655,-4.578966,5.156897,2.98931,4.109737,-4.322612,5.695748,.7413793,23,33,17,17,29,25,33,27,25,25,21.66667,16
"Siena College/The New York Times Upshot","A+",2,4,.7324722,-.5862482,1.252216,.1817068,1.25256,4.0475,-5.055001,2.75,-2.3075,6.210002,5.0575,3.315028,-4.468753,4.957786,.375,36,20,37,37,30,12,43,40,5,43,26,24
"IBD/TIPP","A/B",4,4,.4395835,2.764808,-1.184936,-.3782051,-1.184936,4.15625,1.2025,.8875,2.09,1.6825,-1.2025,3.716667,-1.562308,2.867436,.5,31,43,11,11,31,44,7,8,47,33,29.66667,29
"SurveyMonkey","D-",14,105,-.1578905,-.6227807,-.1711012,.0061717,-.1708684,4.199286,-4.773809,1.290476,-3.484286,6.050571,4.774762,4.357176,-4.151029,6.221673,.8904762,24,19,21,21,32,17,42,35,29,20,24.66667,22
"Big Data Poll","F",15,4,.533334,4.602306,.1725633,-.6282051,.172564,4.250001,3.039999,-.95,2.09,3.039999,-3.04,3.716667,-1.562308,2.867436,.25,33,48,25,25,33,48,14,4,50,46,36,41
"Morning Consult","B/C",8,5,.5683333,-.3476923,-.9574358,.1217949,-.9574359,4.285,-1.91,4,2.09,1.91,1.91,3.716667,-1.562308,2.867436,1,35,22,12,12,34,31,8,21,7,1,18,15
"McLaughlin & Associates","C/D",12,2,.5027312,4.105769,3.290231,0,3.290231,4.315001,2.860001,8,10.865,8.630001,-2.865,3.812269,-1.245769,5.339769,.5,32,45,49,49,35,47,49,5,31,33,37.33333,42
"Hampton University","C/D",12,2,.97,6.105263,1.791578,-.4473684,1.791579,4.34,4.82,.5,5.32,4.82,-4.82,3.37,-1.285263,3.028421,.5,38,51,44,44,36,50,26,2,48,33,43.33333,50
"Suffolk University","A",1,4,.5353469,-1.616149,1.208916,-.2036783,1.208915,4.5175,-5.014999,10.4125,5.3975,5.400002,5.015,3.982153,-3.398851,4.191085,.625,34,13,36,36,37,13,35,39,45,30,38.33333,43
"Muhlenberg College","A+",2,2,1.299482,-1.454138,1.281724,-.0862069,1.283103,4.689999,-5.959999,5.25,-.72,5.959999,5.97,3.390516,-4.505861,4.678275,0,43,15,38,38,38,9,40,43,42,48,41,49
"Loras College","B/C",8,3,1.01794,.9169405,1.159725,0,1.163059,4.788334,-1.950001,4.183333,2.24,5.803333,1.943334,3.770395,-2.866941,4.643608,.6666667,40,32,34,34,39,30,39,22,31,28,35,39
"University of New Hampshire","B-",7,6,.1664439,-4.169841,2.201269,.0873016,2.20127,4.911666,-8.546664,10,1.453333,8.546664,8.546667,4.745222,-4.376823,6.345396,.8333333,30,3,46,46,40,3,48,49,19,22,31.66667,36
"Christopher Newport University","B/C",8,3,1.553333,-1.72807,-.0150875,.0526316,-.0150876,4.923334,-3.013334,8.333333,5.32,3.013334,3.013333,3.37,-1.285263,3.028421,1,44,11,24,24,41,24,13,28,20,1,29.33333,28
"NBC News/The Wall Street Journal","A-",3,2,1.258333,-3.347692,2.042564,.1217949,2.042564,4.975,-4.91,7,2.09,4.91,4.91,3.716667,-1.562308,2.867436,1,42,5,45,45,42,16,28,36,7,1,31.33333,33
"TargetSmart/William & Mary","B/C",8,2,1.766667,-2.816389,2.282222,.0069444,2.282222,5.185,-7.129999,2.5,-4.63,7.129999,7.13,3.418333,-4.313611,4.847777,.5,45,6,47,47,43,6,45,46,28,33,40,47
"Roanoke College","B/C",8,2,2.095,-6.894737,5.151579,.0526316,5.151579,5.465,-8.18,13.5,5.32,8.18,8.18,3.37,-1.285263,3.028421,1,46,2,50,50,44,4,47,48,20,1,38.66667,45
"Lucid","D+",13,16,2.439691,-2.435429,.7795681,.0088502,.7797241,6.033125,-3.97375,4.125,.15,4.1775,3.975,3.593434,-1.538322,3.397932,.8125,47,8,29,29,45,20,22,32,27,23,34.33333,38
"Mason-Dixon Polling & Strategy","B+",6,4,1.038282,-1.519025,1.673311,0,1.673311,6.41625,-10.6075,-6,-16.6075,10.7875,10.6075,5.377969,-9.088476,9.11419,1,41,14,43,43,46,2,50,50,31,1,38.33333,43
"Maine People's Resource Center","B/C",8,3,1.006222,1.688889,-2.502222,.2222222,-2.502222,6.533333,-3.146665,5.683333,2.536667,5.006666,3.146667,5.527111,-4.835554,7.508887,1,39,37,3,3,47,23,31,29,4,1,15.33333,11
"Ipsos","B-",7,4,2.858333,-2.622693,1.317565,.1217949,1.317564,6.575,-4.185,6.275,2.09,4.185,4.185,3.716667,-1.562308,2.867436,1,48,7,39,39,48,18,23,34,7,1,31.33333,33
"Saint Leo University","C/D",12,2,3.602639,-9.762735,8.576004,-.071047,8.576005,6.8975,-11.825,12.275,.4499999,11.825,11.825,3.294861,-2.062264,3.248995,.5,50,1,51,51,49,1,51,51,39,33,46.66667,51
"EPIC-MRA","B+",6,2,3.530249,-.9724998,.8245001,-.075,.8245001,7.514999,-5.970001,5.75,-.22,5.970001,5.97,3.98475,-4.997501,5.145501,0,49,17,30,30,50,8,41,43,40,48,39.66667,46
"Google Surveys","D+",13,7,5.643476,-1.914395,1.493179,.0981685,1.493179,10.63643,-7.387143,-2.324286,-9.71,7.841428,7.385715,4.992952,-5.472747,6.348249,1,51,9,40,40,51,5,46,47,16,1,35.66667,40
